"sæson","hold","niveau_denne_sæson","placering","hændelse","kval_modstander","kval_resultat","niveau_næste_sæson_algoritme","niveau_næste_sæson_faktisk","christoffer_bekræftet","source_league_group_id","source_group_name_raw","source_group_type","source_match_id","related_qualification_group_ids"
"2012/2013","Værløse","Ligaen","4","Liga-grundspil","","","ikke fundet","Ligaen","","1637","Grundspil","grundspil","",""
"2012/2013","Solrød Strand","Ligaen","5","Liga-grundspil","","","ikke fundet","Ligaen","","1637","Grundspil","grundspil","",""
"2012/2013","Greve","Ligaen","6","Liga-grundspil","","","ikke fundet","Ligaen","","1637","Grundspil","grundspil","",""
"2012/2013","Vendsyssel","Ligaen","7","forbliver i Ligaen (nr. 7-8)","","","ikke fundet","Ligaen","","1637","Grundspil","grundspil","",""
"2012/2013","Aarhus AB","Ligaen","8","forbliver i Ligaen (nr. 7-8)","","","ikke fundet","Ligaen","","1637","Grundspil","grundspil","",""
"2012/2013","Gentofte","Ligaen","9","Ligakvalifikationspulje (ikke direkte 2-holds kamp)","","","ikke fundet","Ligaen","","1637","Grundspil","grundspil","","2181"
"2012/2013","Lillerød","Ligaen","10","automatisk nedrykning","","","ikke fundet","1. division","","1637","Grundspil","grundspil","","2181"
"2012/2013","Højbjerg (N)","1. division","1","1. divisions kvalifikationsgruppe mod Ligaen; BD (N) = historisk bevægelsesmarkør","","","ikke fundet","Ligaen","","1643","Grundspil","grundspil","","2181"
"2012/2013","Ikast","1. division","2","1. divisions kvalifikationsgruppe mod Ligaen","","","ikke fundet","ikke fundet","","1643","Grundspil","grundspil","","2181"
"2012/2013","Hvidovre","1. division","3","forbliver i 1. division (midterfelt)","","","ikke fundet","1. division","","1643","Grundspil","grundspil","",""
"2012/2013","Aalborg Triton","1. division","4","forbliver i 1. division (midterfelt)","","","ikke fundet","ikke fundet","","1643","Grundspil","grundspil","",""
"2012/2013","Værløse 2","1. division","5","forbliver i 1. division (midterfelt)","","","ikke fundet","1. division","","1643","Grundspil","grundspil","",""
"2012/2013","KBK Kbh.","1. division","6","forbliver i 1. division (midterfelt)","","","ikke fundet","2. division","","1643","Grundspil","grundspil","",""
"2012/2013","Gentofte 2","1. division","7","forbliver i 1. division (midterfelt)","","","ikke fundet","1. division","","1643","Grundspil","grundspil","",""
"2012/2013","Randers BK","1. division","8","forbliver i 1. division (midterfelt)","","","ikke fundet","2. division","","1643","Grundspil","grundspil","",""
"2012/2013","Badminton Esbjerg","2. division","1","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","1338","Pulje 1","grundspil","","2164"
"2012/2013","Aarhus AB 2","2. division","2","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","1338","Pulje 1","grundspil","","2164"
"2012/2013","Ikast 2 (O)","2. division","3","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","1338","Pulje 1","grundspil","","2164"
"2012/2013","Højbjerg 2","2. division","4","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","1338","Pulje 1","grundspil","","2164"
"2012/2013","Brønderslev","2. division","5","forbliver i 2. division (midterfelt)","","","ikke fundet","ikke fundet","","1338","Pulje 1","grundspil","",""
"2012/2013","Skovbakken","2. division","6","forbliver i 2. division (midterfelt)","","","ikke fundet","ikke fundet","","1338","Pulje 1","grundspil","",""
"2012/2013","Team Fredericia (N)","2. division","7","forbliver i 2. division (midterfelt); BD (N) = historisk bevægelsesmarkør","","","ikke fundet","ikke fundet","","1338","Pulje 1","grundspil","",""
"2012/2013","abc Aalborg","2. division","8","forbliver i 2. division (midterfelt)","","","ikke fundet","ikke fundet","","1338","Pulje 1","grundspil","",""
"2012/2013","KMB2010","2. division","1","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","1. division","","1335","Pulje 2","grundspil","","2164"
"2012/2013","Solrød Strand 2 (N)","2. division","2","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (N) = historisk bevægelsesmarkør","","","ikke fundet","1. division","","1335","Pulje 2","grundspil","","2164"
"2012/2013","Greve 2","2. division","3","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","1335","Pulje 2","grundspil","","2164"
"2012/2013","Holbæk","2. division","4","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","1335","Pulje 2","grundspil","","2164"
"2012/2013","Skovshoved 2","2. division","5","forbliver i 2. division (midterfelt)","","","ikke fundet","2. division","","1335","Pulje 2","grundspil","",""
"2012/2013","Odense OBK 2","2. division","6","forbliver i 2. division (midterfelt)","","","ikke fundet","2. division","","1335","Pulje 2","grundspil","",""
"2012/2013","Hillerød (O)","2. division","7","forbliver i 2. division (midterfelt); BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","1335","Pulje 2","grundspil","",""
"2012/2013","Holte (O)","2. division","8","forbliver i 2. division (midterfelt); BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","1335","Pulje 2","grundspil","",""
"2013/2014","Odense OBK 2","2. division","1","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","1. division","","3581","Kval. til 1. div.","grundspil","","3581"
"2013/2014","Hillerød","2. division","2","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","1. division","","3581","Kval. til 1. div.","grundspil","","3581"
"2013/2014","Skovshoved 2","2. division","3","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","3581","Kval. til 1. div.","grundspil","","3581"
"2013/2014","Greve 2","2. division","4","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","3581","Kval. til 1. div.","grundspil","","3581"
"2013/2014","Højbjerg 2","2. division","5","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","3581","Kval. til 1. div.","grundspil","","3581"
"2013/2014","Aarhus AB 2","2. division","6","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","3581","Kval. til 1. div.","grundspil","","3581"
"2013/2014","Holte","2. division","7","2. divisions oprykningsspil/kvalifikation mod 1. division","","","ikke fundet","2. division","","3581","Kval. til 1. div.","grundspil","","3581"
"2013/2014","Horsens (O)","2. division","8","2. divisions oprykningsspil/kvalifikation mod 1. division; BD (O) = historisk bevægelsesmarkør","","","ikke fundet","2. division","","3581","Kval. til 1. div.","grundspil","","3581"
"2013/2014","Team Skælskør-Slagelse","Ligaen","1","Liga-grundspil","","","ikke fundet","Ligaen","","2792","Grundspil","grundspil","",""
"2013/2014","Skovshoved","Ligaen","2","Liga-grundspil","","","ikke fundet","Ligaen","","2792","Grundspil","grundspil","",""
"2013/2014","Greve","Ligaen","3","Liga-grundspil","","","ikke fundet","Ligaen","","2792","Grundspil","grundspil","",""
"2013/2014","Odense OBK","Ligaen","4","Liga-grundspil","","","ikke fundet","Ligaen","","2792","Grundspil","grundspil","",""
"2013/2014","Aarhus AB","Ligaen","5","Liga-grundspil","","","ikke fundet","Ligaen","","2792","Grundspil","grundspil","",""
"2013/2014","Gentofte","Ligaen","6","Liga-grundspil","","","ikke fundet","Ligaen","","2792","Grundspil","grundspil","",""
"2013/2014","Vendsyssel","Ligaen","7","forbliver i Ligaen (nr. 7-8)","","","ikke fundet","Ligaen","","2792","Grundspil","grundspil","",""
"2013/2014","Solrød Strand","Ligaen","8","forbliver i Ligaen (nr. 7-8)","","","ikke fundet","Ligaen","","2792","Grundspil","grundspil","",""
"2013/2014","Værløse","Ligaen","9","Ligakvalifikationspulje (ikke direkte 2-holds kamp)","","","ikke fundet","Ligaen","","2792","Grundspil","grundspil","","3596"
