"season","matchId","team","opponent","category","source"
"2019","366891","Gladsaxe Søborg 1","KBK Kbh. 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12597,1,8,,366891,1093,"
"2019","366893","Gladsaxe Søborg 1","Hvidovre 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12597,1,8,,366893,1093,"
"2019","366944","Gladsaxe Søborg 2","KBK Kbh. 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12595,1,8,,366944,1093,"
"2019","366948","Gladsaxe Søborg 2","KMB2010 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12595,1,8,,366948,1093,"
"2019","366979","Gladsaxe Søborg 1","Hvidovre HB2000 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12594,1,8,,366979,1093,"
"2019","366986","Gladsaxe Søborg 1","BK36 Kbh. 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,12594,1,8,,366986,1093,"
"2019","384292","Gladsaxe Søborg","Vordingborg","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,13102,1,8,,384292,1093,"
"2019","385098","Gladsaxe Søborg 2","KSI Badmintonklub Kbh. 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2019,13144,1,8,,385098,1093,"
"2020","387755","Gladsaxe Søborg 1","Frederiksberg 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13302,1,8,,387755,1093,"
"2020","387757","Gladsaxe Søborg 1","KBK Kbh. 1","walkover_or_not_attended","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13302,1,8,,387757,1093,"
"2020","387878","Gladsaxe Søborg 3","KMB2010 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13306,1,8,,387878,1093,"
"2020","387879","Gladsaxe Søborg 3","Gentofte 3","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13306,1,8,,387879,1093,"
"2020","387884","Gladsaxe Søborg 3","KBK Kbh. 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13306,1,8,,387884,1093,"
"2020","387887","Gladsaxe Søborg 3","Drive 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13306,1,8,,387887,1093,"
"2020","387902","Gladsaxe Søborg 4","Rødovre/KFUM KBH 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13307,1,8,,387902,1093,"
"2020","387907","Gladsaxe Søborg 4","Valby BC 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13307,1,8,,387907,1093,"
"2020","387909","Gladsaxe Søborg 4","Tingbjerg 2","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13307,1,8,,387909,1093,"
"2020","387915","Gladsaxe Søborg 4","Gentofte 4","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13307,1,8,,387915,1093,"
"2020","388014","Gladsaxe Søborg 1","Hvidovre HB2000 1","cancelled_or_no_result","https://www.badmintonplayer.dk/DBF/HoldTurnering/Stilling/#5,2020,13311,1,8,,388014,1093,"
